CITY,YEAR_RANGE,VIOLENT_CRIMES,PROPERTY_CRIMES,TOTAL_CRIMES
APEX,2011 - 2021,379,6054,6433
CARY,2011 - 2021,1262,19726,20988
FUQUAY VARINA,2011 - 2021,440,4430,4870
GARNER,2011 - 2021,837,11988,12825
HOLLY SPRINGS,2011 - 2021,251,3403,3654
MORRISVILLE,2011 - 2021,186,4596,4782
KNIGHTDALE,2011 - 2021,296,4039,4335
RALEIGH,2011 - 2021,11561,74484,86045
ROLESVILLE,2011 - 2021,54,967,1021
WAKE FOREST,2011 - 2021,549,7434,7983
WENDELL,2011 - 2021,114,1179,1293
ZEBULON,2011 - 2021,340,3075,3415
